numero_datos,tipo,numero_muestra,tiempo_segundos
1000,Paralelo,1,0.003000
1000,Paralelo,2,0.000000
1000,Paralelo,3,0.000000
1000,Paralelo,4,0.001000
1000,Paralelo,5,0.000000
1000,Paralelo,6,0.000000
1000,Paralelo,7,0.000000
1000,Paralelo,8,0.000000
1000,Paralelo,9,0.000000
1000,Paralelo,10,0.000000
1000,Paralelo,11,0.000000
1000,Paralelo,12,0.000000
1000,Paralelo,13,0.000000
1000,Paralelo,14,0.000000
1000,Paralelo,15,0.001000
1000,Paralelo,16,0.000000
1000,Paralelo,17,0.000000
1000,Paralelo,18,0.000000
1000,Paralelo,19,0.001000
1000,Paralelo,20,0.000000
1000,Paralelo,21,0.000000
1000,Paralelo,22,0.000000
1000,Paralelo,23,0.000000
1000,Paralelo,24,0.001000
1000,Paralelo,25,0.000000
100000,Paralelo,1,0.004000
100000,Paralelo,2,0.001000
100000,Paralelo,3,0.001000
100000,Paralelo,4,0.001000
100000,Paralelo,5,0.001000
100000,Paralelo,6,0.001000
100000,Paralelo,7,0.001000
100000,Paralelo,8,0.001000
100000,Paralelo,9,0.001000
100000,Paralelo,10,0.001000
100000,Paralelo,11,0.001000
100000,Paralelo,12,0.001000
100000,Paralelo,13,0.001000
100000,Paralelo,14,0.002000
100000,Paralelo,15,0.001000
100000,Paralelo,16,0.001000
100000,Paralelo,17,0.001000
100000,Paralelo,18,0.001000
100000,Paralelo,19,0.001000
100000,Paralelo,20,0.001000
100000,Paralelo,21,0.001000
100000,Paralelo,22,0.001000
100000,Paralelo,23,0.001000
100000,Paralelo,24,0.002000
100000,Paralelo,25,0.001000
1000000,Paralelo,1,0.011000
1000000,Paralelo,2,0.009000
1000000,Paralelo,3,0.008000
1000000,Paralelo,4,0.009000
1000000,Paralelo,5,0.009000
1000000,Paralelo,6,0.008000
1000000,Paralelo,7,0.005000
1000000,Paralelo,8,0.007000
1000000,Paralelo,9,0.006000
1000000,Paralelo,10,0.008000
1000000,Paralelo,11,0.008000
1000000,Paralelo,12,0.006000
1000000,Paralelo,13,0.007000
1000000,Paralelo,14,0.005000
1000000,Paralelo,15,0.005000
1000000,Paralelo,16,0.008000
1000000,Paralelo,17,0.008000
1000000,Paralelo,18,0.010000
1000000,Paralelo,19,0.007000
1000000,Paralelo,20,0.008000
1000000,Paralelo,21,0.006000
1000000,Paralelo,22,0.007000
1000000,Paralelo,23,0.005000
1000000,Paralelo,24,0.006000
1000000,Paralelo,25,0.006000
